reward,reward_accumulate
-0.01231086228721212,-0.045904874918070666
-0.009085718776761524,-0.04522303869323162
-0.012545692459453877,-0.04462890512534477
-0.011472585657238006,-0.04403682799198573
-0.006402523650259071,-0.043376577038622105
-0.012003840480028893,-0.04283566778761187
-0.006649782327137234,-0.042222347695061446
-0.007992829529295593,-0.04165185572563201
-0.008013101489804777,-0.041100400738159446
-0.007119691967237717,-0.040552324790241345
-0.011809088593179563,-0.04009608294584353
-0.008580963489700692,-0.0396036592043413
-0.011869856667423602,-0.03917698531915795
-0.01573469883154827,-0.038821799160254786
-0.01535489289870187,-0.03847154682799284
-0.010451548710728516,-0.03805948803215073
-0.00690572140479223,-0.03760798416798611
-0.006731886354099781,-0.03716689705635916
-0.012474696200726101,-0.03681911957951926
-0.009010776214229323,-0.03643289258833468
-0.009320730264587955,-0.036061493104447735
-0.012751070764415222,-0.03574648739714999
-0.009806237214062423,-0.035400617394708844
-0.006887500324648104,-0.03502544480168174
-0.006493733937851405,-0.03465490310215147
-0.005443851891422841,-0.03428040244560366
-0.005945479048115836,-0.03392173252917977
-0.016690514324724674,-0.03370634230162409
-0.010111263947245437,-0.03341504503798979
-0.006203735533999691,-0.03308319980013624
-0.010869636257407066,-0.03281556650444069
-0.007724057120051425,-0.03251685805938844
-0.011114384350731874,-0.032265064251051315
-0.008277473506069236,-0.031986138777272445
-0.005497604999885659,-0.03168167287178523
-0.00450422091998319,-0.03137283819051475
-0.0048991886630997674,-0.031075381454251677
-0.004405107366346652,-0.030779045075497183
-0.005201583862237007,-0.03049797407315365
-0.0071144531791567335,-0.030243805367784128
-0.0035419776311001873,-0.029956688940507948
-0.00482764291237817,-0.02968935866361295
-0.0031496397503891203,-0.029409993201368487
-0.006244773424518768,-0.02916868882869298
-0.0023657858012971133,-0.028892370240781683
-0.003113556600235862,-0.02862932112200061
-0.004685641079830597,-0.028387465768039286
-0.00517848802543216,-0.02815537599061322
-0.0035932396741126826,-0.027912186522133012
-0.006266647631168316,-0.027699975356535324
-0.0029974870504759234,-0.02746014537298136
-0.00612644676180512,-0.027255013655566207
-0.003950361020526272,-0.027033064582851554
-0.003928185681158169,-0.026815094027175197
-0.005879959069142493,-0.026619438560277698
-0.0036807459806395913,-0.02640704325861438
-0.014239203687955592,-0.026295411702920234
-0.0036887689320946665,-0.02608989676863999
-0.00833414118283118,-0.02592993500660567
-0.00884400221099252,-0.02577738203521627
-0.005116172922876461,-0.025594539476699985
