server,bus1,bus2,bus3,bus4,bus5,bus6,cloud
2,217,80,108,108,83,106,96
3,219,76,108,107,98,105,84
5,218,82,109,95,96,107,88
4,219,80,105,111,105,69,107
3,216,74,108,110,104,99,86
5,218,87,103,106,86,109,86
2,222,79,104,106,72,106,109
7,216,71,109,108,88,105,96
4,221,83,103,106,105,108,70
5,219,82,109,107,103,107,68
2,218,83,102,107,89,108,91
4,215,82,89,109,89,107,105
9,223,66,112,106,99,105,80
12,220,94,105,98,70,108,93
2,217,105,94,96,73,107,106
9,215,97,103,96,72,106,102
4,222,93,110,108,59,109,95
7,220,94,109,109,68,109,84
3,222,87,106,106,70,109,97
5,217,91,101,108,62,108,108
7,217,80,105,108,63,109,111
8,220,82,111,106,56,108,109
2,221,78,109,105,71,111,103
8,218,89,107,83,83,109,103
4,220,99,106,73,87,108,103
7,219,105,103,66,83,109,108
5,219,89,100,94,91,109,93
9,219,100,87,87,88,109,101
4,219,99,101,94,73,108,102
1,220,86,98,96,90,109,100
4,218,101,95,99,67,108,108
6,223,103,94,82,77,110,105
2,217,101,104,100,69,107,100
4,221,106,100,91,68,109,101
3,220,111,80,92,77,109,108
4,217,107,82,99,76,109,106
4,219,109,78,104,66,109,111
4,218,105,89,105,64,109,106
4,219,104,78,101,81,108,105
11,219,100,85,92,83,107,103
6,219,103,79,97,87,109,100
2,222,104,102,94,64,108,104
4,216,93,89,109,74,107,108
2,221,82,90,107,86,111,101
10,219,111,71,98,73,108,110
5,212,109,89,100,67,107,111
6,224,104,71,105,70,110,110
5,217,105,91,106,57,110,109
5,220,108,96,105,50,107,109
12,441,210,208,213,81,220,215
8,222,92,109,108,52,107,102
2,218,85,108,104,70,109,104
4,219,90,107,104,62,110,104
4,219,97,108,107,59,108,98
17,214,93,105,101,59,107,104
8,211,79,101,93,97,100,111
9,225,104,101,74,71,110,106
9,213,91,104,66,107,101,109
4,219,97,110,75,83,110,102
7,221,104,106,75,75,108,104
2,218,100,106,97,74,109,94
3,219,102,110,92,63,109,102
1,214,95,105,109,61,109,106
5,217,104,101,89,69,108,107
15,218,107,92,82,69,109,108
16,213,104,89,86,75,108,109
4,218,100,95,90,77,111,105
2,217,102,103,92,73,107,104
5,223,108,102,73,83,108,98
3,215,100,106,78,79,109,110
14,217,99,107,77,75,105,106
1,224,107,109,63,81,110,105
6,220,96,109,75,79,107,108
7,219,101,105,64,97,102,105
2,219,106,109,76,88,89,111
5,215,102,104,77,94,99,104
16,223,96,98,69,98,102,98
6,213,106,101,82,87,99,106
8,219,95,101,87,82,107,101
5,221,79,98,101,95,109,92
2,219,107,97,90,97,109,79
9,216,103,99,96,98,107,72
6,214,104,101,95,69,109,102
4,222,108,108,88,60,109,101
5,217,106,109,86,64,108,105
10,214,82,107,87,92,106,102
6,221,90,105,82,83,105,108
5,221,107,69,97,103,107,91
8,219,89,85,108,100,105,86
4,219,98,78,110,108,101,82
4,218,102,92,98,102,107,77
5,219,100,93,105,102,105,71
6,222,103,84,107,106,98,74
9,218,100,89,98,98,109,79
4,220,92,98,102,102,74,108
6,221,89,92,104,105,82,101
6,216,96,96,91,98,97,100
9,216,62,108,107,107,89,102
5,215,75,102,96,104,104,99
13,216,66,108,93,106,93,105
2,221,82,109,92,109,79,106
7,213,76,106,79,109,103,107
3,221,70,108,87,110,100,101
10,220,74,104,89,103,96,104
3,217,73,104,95,106,101,101
3,217,73,109,79,110,108,101
1,222,85,106,81,105,106,94
3,217,77,107,85,103,106,102
5,219,73,106,91,104,98,104
5,221,69,105,105,101,87,107
6,218,66,105,109,108,82,106
8,221,75,107,101,108,81,99
6,219,73,110,108,109,81,94
12,218,85,108,101,108,82,86
5,216,93,110,93,101,93,89
7,221,101,107,94,98,90,82
7,220,104,111,71,96,103,88
4,220,102,109,81,97,95,92
7,221,107,111,58,95,104,97
2,220,106,109,80,87,103,93
4,217,100,107,82,97,109,84
7,216,99,109,91,87,109,82
6,219,100,106,94,104,105,66
5,221,92,110,94,98,108,72
8,223,104,110,52,110,83,110
7,217,99,109,70,108,94,96
3,220,96,108,78,104,99,92
6,222,100,111,81,100,101,79
11,217,91,108,85,103,100,85
9,218,93,108,89,97,97,89
8,218,98,109,73,106,89,99
