server,bus1,bus2,bus3,bus4,bus5,bus6,cloud
0.0,0.0,-0.008740429606287408,-0.018010817261310475,-0.030399976343707308,-0.08722969681323578,-0.0033824466100995138,-0.001968743550335904
0.0,0.0,-0.07877567277618239,-0.024653879990056204,-0.014894277579376874,-0.035947875465447275,0.0,-0.002678763099011684
0.0,-0.0012943220172495634,-0.04673951836677088,-0.015465603832553474,-0.0841637503039134,-0.0025103810492017463,0.0,-0.0013209274487858305
0.0,-0.02500846699868579,-0.03359172242469882,-0.05551221931162279,-0.05650808571314014,-0.026855446781600602,-0.005785656258816526,-0.003478055711665599
0.0,-0.0006988370946639153,-0.06027809123291214,-0.03752291514964046,-0.03584243052187333,-0.024120502549561777,-0.01083149414539389,0.0
0.0,0.0,-0.03863825108190816,-0.01349904542655293,-0.01201290685366147,-0.00321291343467166,-0.024568241482672334,0.0
0.0,-0.000143366550069116,-0.01261898175041158,-0.007972959980304907,-0.020273411273805393,-0.018767463310774217,-0.03351045769300805,0.0
0.0,0.0,-0.021903012325925376,-0.010180593000114018,-0.03316733597922125,-0.0011806267193574826,-0.006207514646081698,0.0
0.0,0.0,-0.011377048170685095,-0.0025136506609860533,-0.011368199497589618,-0.008641248740077295,0.0,0.0
0.0,-0.011734475641610297,-0.025356763715616036,-0.018502529610158566,-0.015128772900570879,-0.0452585858161807,-0.02094688455799635,-0.03417788754371747
0.0,0.0,-0.014645778816236467,-0.021096438510235675,-0.00872020090961523,-0.006246012828844346,-0.008419010076616728,0.0
0.0,-0.004826110137278308,-0.004650361125600285,-0.033790958198375756,-0.03483818593307742,-0.03068190842320304,-0.007618597719403363,0.0
0.0,-0.001671337358653256,-0.006608487036835522,-0.007921166460627757,-0.01884922900921989,-0.02766798074309961,-0.009976820877753522,-0.01211746169249582
0.0,-0.002377525423181044,-0.010276556329138535,-0.023512731387689792,-0.025739862165539706,-0.009150266872590653,0.0,0.0
0.0,-0.0009562412795891839,-0.00920914951223851,-0.059853438593991004,-0.0004559379446501221,-0.014208638023049813,-0.0091927809930048,-0.013302412832859592
0.0,0.0,-0.004093738029727097,-0.006214455053166009,-0.002183088028485487,-0.00766718711557763,-0.005262484389839816,0.0
0.0,0.0,-0.008072627117048434,-0.03220679360358451,-0.007507731109694439,-0.00330756708508209,-0.004581576013950857,0.0
0.0,0.0,-0.014981928826772016,-0.02118335831983302,-0.03417069247185441,-0.0012616236408895891,-0.0011204172994118862,0.0
0.0,-0.001566258441301117,-0.01669790871860599,-0.019054761234901636,-0.01241350275686993,-0.01577019272658038,-0.0009145705874806636,0.0
0.0,-0.004094015981849715,-0.029280603096210327,-0.0074775634108339385,-0.02521651417302196,-0.016198785899430013,-0.009212285580623395,-0.01243761811392114
0.0,-0.01847952181819834,-0.04397364145197798,-0.056462235785532736,-0.06512308287677873,-0.024805336174873394,-0.01759916881808324,-0.026695419206289386
